id,normalizada,original,solo_frente_espalda,sin_logo,sin_marco,sin_cabecera_pie,sin_cortes,sin_deformacion,lienzo_ok,clasificacion,observacion
AIM-P104-048.jpg,images_normalized\AIM-P104-048.jpg,images_final\AIM-P104-048.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P076-055.jpg,images_normalized\AIM-P076-055.jpg,images_final\AIM-P076-055.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P124-049.jpg,images_normalized\AIM-P124-049.jpg,images_final\AIM-P124-049.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P174-036.jpg,images_normalized\AIM-P174-036.jpg,images_final\AIM-P174-036.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P228-047.jpg,images_normalized\AIM-P228-047.jpg,images_final\AIM-P228-047.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P100-038.jpg,images_normalized\AIM-P100-038.jpg,images_final\AIM-P100-038.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P045-025.jpg,images_normalized\AIM-P045-025.jpg,images_final\AIM-P045-025.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P102-006.jpg,images_normalized\AIM-P102-006.jpg,images_final\AIM-P102-006.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P098-001.jpg,images_normalized\AIM-P098-001.jpg,images_final\AIM-P098-001.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P058-013.jpg,images_normalized\AIM-P058-013.jpg,images_final\AIM-P058-013.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
