id,estado,motivo,dimensiones_normalizada,guardada,frente_detectado,espalda_detectada
AIM-P055-015.jpg,ok,"logo separado de bloque ancho x[14:117] | frente/espalda fusionados, separados en x=395",550x354,ok-saved,si,si
AIM-P055-016.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=397",543x352,ok-saved,si,si
AIM-P055-017.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=399",553x353,ok-saved,si,si
AIM-P055-018.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=397",546x352,ok-saved,si,si
AIM-P055-019.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=394",542x354,ok-saved,si,si
AIM-P055-020.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=398",548x352,ok-saved,si,si
AIM-P055-021.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=398",545x352,ok-saved,si,si
AIM-P055-022.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=397",547x352,ok-saved,si,si
AIM-P055-023.jpg,ok,"logo separado de bloque ancho x[10:111] | frente/espalda fusionados, separados en x=394",546x353,ok-saved,si,si
AIM-P055-024.jpg,ok,"logo separado de bloque ancho x[4:107] | frente/espalda fusionados, separados en x=395",557x362,ok-saved,si,si
AIM-P055-025.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=397",546x352,ok-saved,si,si
AIM-P055-026.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=397",544x352,ok-saved,si,si
AIM-P055-027.jpg,ok,"logo separado de bloque ancho x[21:120] | frente/espalda fusionados, separados en x=395",532x346,ok-saved,si,si
AIM-P055-028.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=394",547x354,ok-saved,si,si
AIM-P055-029.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=398",544x352,ok-saved,si,si
AIM-P055-030.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=400",547x352,ok-saved,si,si
AIM-P055-031.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=396",543x352,ok-saved,si,si
AIM-P055-032.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=400",556x353,ok-saved,si,si
AIM-P055-033.jpg,ok,"logo separado de bloque ancho x[15:117] | frente/espalda fusionados, separados en x=400",563x354,ok-saved,si,si
AIM-P055-034.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=397",547x352,ok-saved,si,si
AIM-P055-035.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=399",547x353,ok-saved,si,si
AIM-P055-036.jpg,ok,"logo separado de bloque ancho x[16:117] | frente/espalda fusionados, separados en x=399",545x354,ok-saved,si,si
AIM-P055-037.jpg,ok,"logo separado de bloque ancho x[14:116] | frente/espalda fusionados, separados en x=399",549x354,ok-saved,si,si
AIM-P055-038.jpg,ok,"logo separado de bloque ancho x[14:116] | frente/espalda fusionados, separados en x=400",547x354,ok-saved,si,si
AIM-P055-039.jpg,ok,"logo separado de bloque ancho x[16:132] | frente/espalda fusionados, separados en x=454",626x374,ok-saved,si,si
